RO_PHYSICAL_FINGERPRINT_V2
SUMMARY	ro_luts=128	ro_nets=128	endpoint_cells=136
CELL	u_puf/ring0[12].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X7Y66	SLICEL.C6LUT	I0:C1,I1:C2,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[13].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X5Y64	SLICEL.B6LUT	I0:B1,I1:B2,I2:B3,I3:B4,I4:B5,I5:B6
CELL	u_puf/ring0[13].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X5Y64	SLICEL.C6LUT	I0:C1,I1:C2,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[13].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X3Y63	SLICEL.C6LUT	I0:C1,I1:C2,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[13].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X5Y64	SLICEL.D6LUT	I0:D3,I1:D2,I2:D1,I3:D4,I4:D5,I5:D6
CELL	u_puf/ring0[14].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X5Y56	SLICEL.A6LUT	I0:A1,I1:A2,I2:A3,I3:A4,I4:A5,I5:A6
CELL	u_puf/ring0[14].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X5Y56	SLICEL.B6LUT	I0:B2,I1:B1,I2:B3,I3:B4,I4:B5,I5:B6
CELL	u_puf/ring0[14].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X5Y56	SLICEL.C6LUT	I0:C1,I1:C2,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[14].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X5Y56	SLICEL.D6LUT	I0:D2,I1:D1,I2:D3,I3:D4,I4:D5,I5:D6
CELL	u_puf/ring0[15].ro0/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X4Y57	SLICEL.A6LUT	I0:A1,I1:A2,I2:A3,I3:A4,I4:A5,I5:A6
CELL	u_puf/ring0[15].ro0/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X4Y57	SLICEL.B6LUT	I0:B2,I1:B1,I2:B3,I3:B4,I4:B5,I5:B6
CELL	u_puf/ring0[15].ro0/u_backend/LUT6_INV2	LUT6	64'h5555555555555555	SLICE_X4Y57	SLICEL.C6LUT	I0:C2,I1:C1,I2:C3,I3:C4,I4:C5,I5:C6
CELL	u_puf/ring0[15].ro0/u_backend/LUT6_NAND0	LUT6	64'h8888888888888888	SLICE_X4Y57	SLICEL.D6LUT	I0:D2,I1:D3,I2:D1,I3:D4,I4:D5,I5:D6
CELL	u_puf/ring1[0].ro1/u_backend/LUT6_INV0	LUT6	64'h5555555555555555	SLICE_X4Y51	SLICEL.A6LUT	I0:A1,I1:A2,I2:A3,I3:A4,I4:A5,I5:A6
CELL	u_puf/ring1[0].ro1/u_backend/LUT6_INV1	LUT6	64'h5555555555555555	SLICE_X4Y51	SLICEL.B6LUT	I0:B1,I1:B2,I2:B3,I3:B4,I4:B5,I5:B6
